DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 57 , 99 , 125 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.51667,4.51667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2081.11,2081.11) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2184.79,2184.79) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.4824,35.4824) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (338.657,338.657) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
2 , 11 , 107 , 121 , 130 , 185 , 151 , 235 , 284 , " (0,0) [0,1] " , " (2.33333,2.33333) [3,4] " , " (0,0) [1,2] " , " (2.2,2.2) [3,4] " , " (664.467,664.467) [45000,78000] " , " (2.23667,2.23667) [1,3] " , " (450.192,450.192) [50,455] " , " (0,0) [1,2] " , " (2797.28,2797.28) [1000,4000] " , " (0.94,0.94) [0,7] " , " (1981.73,1981.73) [2000,2350] " , " (0.333333,0.333333) [1,2] " , " (34.2526,34.2526) [15,30] " , " (10.9333,10.9333) [660,1080] " , " (3.1,3.1) [2,4] " , " (2.32143,2.32143) [1,2] " , " (9,9) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (150.763,150.763) [9000,48000] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] "
3 , 11 , 112 , 118 , 129 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (669.31,669.31) [45000,78000] " , " (4.42667,4.42667) [1,3] " , " (425.817,425.817) [50,455] " , " (4,4) [1,2] " , " (4222.35,4222.35) [1000,4000] " , " (4.38333,4.38333) [0,7] " , " (2215.26,2215.26) [2000,2350] " , " (1.6,1.6) [1,2] " , " (34.885,34.885) [15,30] " , " (12.9,12.9) [660,1080] " , " (2.11667,2.11667) [2,4] " , " (2.25,2.25) [1,2] " , " (9.3,9.3) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (118.787,118.787) [9000,48000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
4 , 20 , 84 , 128 , 134 , 175 , 181 , 227 , 246 , " (0,0) [0,1] " , " (2,2) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (994.777,994.777) [45000,78000] " , " (2.9,2.9) [1,3] " , " (177.008,177.008) [50,455] " , " (3,3) [1,2] " , " (3203.59,3203.59) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2232.97,2232.97) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (25.4212,25.4212) [15,30] " , " (14.8367,14.8367) [660,1080] " , " (2,2) [2,4] " , " (1.78571,1.78571) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (159.887,159.887) [9000,48000] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] "
5 , 20 , 84 , 133 , 132 , 180 , 160 , 227 , 246 , " (1,1) [0,1] " , " (2.33333,2.33333) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (944.727,944.727) [45000,78000] " , " (3.5,3.5) [1,3] " , " (167.908,167.908) [50,455] " , " (3.5,3.5) [1,2] " , " (2871.31,2871.31) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2256.72,2256.72) [2000,2350] " , " (1,1) [1,2] " , " (26.0212,26.0212) [15,30] " , " (11.695,11.695) [660,1080] " , " (1.25,1.25) [2,4] " , " (1.78571,1.78571) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (90.7117,90.7117) [9000,48000] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] "
6 , 57 , 99 , 125 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.51667,4.51667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2081.11,2081.11) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2184.79,2184.79) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.4824,35.4824) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (338.657,338.657) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
7 , 20 , 113 , 130 , 120 , 152 , 163 , 206 , 260 , " (0,0) [0,1] " , " (2.33333,2.33333) [3,4] " , " (0.0714286,0.0714286) [1,2] " , " (4.58333,4.58333) [3,4] " , " (728.057,728.057) [45000,78000] " , " (3.46,3.46) [1,3] " , " (237.618,237.618) [50,455] " , " (2,2) [1,2] " , " (2562.9,2562.9) [1000,4000] " , " (6.08571,6.08571) [0,7] " , " (2144.63,2144.63) [2000,2350] " , " (2,2) [1,2] " , " (25.6788,25.6788) [15,30] " , " (16.1727,16.1727) [660,1080] " , " (3.29167,3.29167) [2,4] " , " (1.5,1.5) [1,2] " , " (6.82333,6.82333) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (177.433,177.433) [9000,48000] " , " (4,4) [1,2] " , " (1.76667,1.76667) [1,2] "
8 , 66 , 96 , 131 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (0.666667,0.666667) [3,4] " , " (0.666667,0.666667) [1,2] " , " (2.95,2.95) [3,4] " , " (681.7,681.7) [45000,78000] " , " (2.99333,2.99333) [1,3] " , " (270.475,270.475) [50,455] " , " (1.66667,1.66667) [1,2] " , " (3254.09,3254.09) [1000,4000] " , " (1.64,1.64) [0,7] " , " (2192.31,2192.31) [2000,2350] " , " (0,0) [1,2] " , " (32.6527,32.6527) [15,30] " , " (11.1033,11.1033) [660,1080] " , " (2.61294,2.61294) [2,4] " , " (2.16,2.16) [1,2] " , " (10.4,10.4) [8,9] " , " (0.75,0.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (230.762,230.762) [9000,48000] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] "
9 , 11 , 112 , 129 , 118 , 147 , 143 , 193 , 260 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (669.31,669.31) [45000,78000] " , " (4.42667,4.42667) [1,3] " , " (425.817,425.817) [50,455] " , " (4,4) [1,2] " , " (4222.35,4222.35) [1000,4000] " , " (4.38333,4.38333) [0,7] " , " (2215.26,2215.26) [2000,2350] " , " (1.6,1.6) [1,2] " , " (34.885,34.885) [15,30] " , " (12.9,12.9) [660,1080] " , " (2.11667,2.11667) [2,4] " , " (2.25,2.25) [1,2] " , " (9.3,9.3) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (118.787,118.787) [9000,48000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
10 , 20 , 84 , 133 , 124 , 181 , 175 , 227 , 246 , " (0,0) [0,1] " , " (2,2) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (994.777,994.777) [45000,78000] " , " (3.2,3.2) [1,3] " , " (177.008,177.008) [50,455] " , " (3,3) [1,2] " , " (3414.61,3414.61) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2200.88,2200.88) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (24.5583,24.5583) [15,30] " , " (14.8367,14.8367) [660,1080] " , " (2,2) [2,4] " , " (1.5,1.5) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (172.207,172.207) [9000,48000] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] "
11 , 57 , 99 , 117 , 134 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.61667,4.61667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2080.98,2080.98) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2186.59,2186.59) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.6224,35.6224) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (341.027,341.027) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
12 , 20 , 84 , 125 , 132 , 180 , 160 , 227 , 246 , " (1,1) [0,1] " , " (2.33333,2.33333) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (944.727,944.727) [45000,78000] " , " (3.5,3.5) [1,3] " , " (167.908,167.908) [50,455] " , " (3.5,3.5) [1,2] " , " (2639.04,2639.04) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2257.82,2257.82) [2000,2350] " , " (1,1) [1,2] " , " (26.0512,26.0512) [15,30] " , " (11.695,11.695) [660,1080] " , " (1.25,1.25) [2,4] " , " (1.78571,1.78571) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (97.6917,97.6917) [9000,48000] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] "
13 , 20 , 113 , 130 , 128 , 152 , 163 , 206 , 260 , " (0,0) [0,1] " , " (2.33333,2.33333) [3,4] " , " (0.0714286,0.0714286) [1,2] " , " (4.58333,4.58333) [3,4] " , " (725.443,725.443) [45000,78000] " , " (3.6,3.6) [1,3] " , " (226.018,226.018) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2588.23,2588.23) [1000,4000] " , " (6.08571,6.08571) [0,7] " , " (2152.75,2152.75) [2000,2350] " , " (2,2) [1,2] " , " (27.6104,27.6104) [15,30] " , " (15.986,15.986) [660,1080] " , " (3.29167,3.29167) [2,4] " , " (1.78571,1.78571) [1,2] " , " (6.69,6.69) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (180.121,180.121) [9000,48000] " , " (4,4) [1,2] " , " (1.76667,1.76667) [1,2] "
14 , 66 , 96 , 122 , 129 , 137 , 185 , 192 , 272 , " (0,0) [0,1] " , " (0.666667,0.666667) [3,4] " , " (0.666667,0.666667) [1,2] " , " (2.95,2.95) [3,4] " , " (681.7,681.7) [45000,78000] " , " (2.98333,2.98333) [1,3] " , " (270.475,270.475) [50,455] " , " (1.66667,1.66667) [1,2] " , " (3254.19,3254.19) [1000,4000] " , " (1.64,1.64) [0,7] " , " (2193.08,2193.08) [2000,2350] " , " (0,0) [1,2] " , " (32.6527,32.6527) [15,30] " , " (11.1033,11.1033) [660,1080] " , " (2.61294,2.61294) [2,4] " , " (2.16,2.16) [1,2] " , " (10.4,10.4) [8,9] " , " (0.75,0.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (230.762,230.762) [9000,48000] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] "
15 , 11 , 112 , 118 , 131 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (669.31,669.31) [45000,78000] " , " (4.43667,4.43667) [1,3] " , " (425.817,425.817) [50,455] " , " (4,4) [1,2] " , " (4222.25,4222.25) [1000,4000] " , " (4.38333,4.38333) [0,7] " , " (2214.49,2214.49) [2000,2350] " , " (1.6,1.6) [1,2] " , " (34.885,34.885) [15,30] " , " (12.9,12.9) [660,1080] " , " (2.11667,2.11667) [2,4] " , " (2.25,2.25) [1,2] " , " (9.3,9.3) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (118.787,118.787) [9000,48000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
16 , 20 , 84 , 133 , 124 , 181 , 175 , 227 , 246 , " (0,0) [0,1] " , " (2,2) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (994.777,994.777) [45000,78000] " , " (3.2,3.2) [1,3] " , " (177.008,177.008) [50,455] " , " (3,3) [1,2] " , " (3414.61,3414.61) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2200.88,2200.88) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (24.5583,24.5583) [15,30] " , " (14.8367,14.8367) [660,1080] " , " (2,2) [2,4] " , " (1.5,1.5) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (172.207,172.207) [9000,48000] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] "
17 , 57 , 99 , 134 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.61667,4.61667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2080.98,2080.98) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2186.59,2186.59) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.6224,35.6224) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (341.027,341.027) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
18 , 20 , 84 , 125 , 132 , 180 , 160 , 227 , 246 , " (1,1) [0,1] " , " (2.33333,2.33333) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (944.727,944.727) [45000,78000] " , " (3.5,3.5) [1,3] " , " (167.908,167.908) [50,455] " , " (3.5,3.5) [1,2] " , " (2639.04,2639.04) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2257.82,2257.82) [2000,2350] " , " (1,1) [1,2] " , " (26.0512,26.0512) [15,30] " , " (11.695,11.695) [660,1080] " , " (1.25,1.25) [2,4] " , " (1.78571,1.78571) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (97.6917,97.6917) [9000,48000] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] "
19 , 20 , 113 , 128 , 130 , 163 , 152 , 206 , 260 , " (0,0) [0,1] " , " (2.33333,2.33333) [3,4] " , " (0.0714286,0.0714286) [1,2] " , " (4.58333,4.58333) [3,4] " , " (725.443,725.443) [45000,78000] " , " (3.6,3.6) [1,3] " , " (226.018,226.018) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2588.23,2588.23) [1000,4000] " , " (6.08571,6.08571) [0,7] " , " (2152.75,2152.75) [2000,2350] " , " (2,2) [1,2] " , " (27.6104,27.6104) [15,30] " , " (15.986,15.986) [660,1080] " , " (3.29167,3.29167) [2,4] " , " (1.78571,1.78571) [1,2] " , " (6.69,6.69) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (180.121,180.121) [9000,48000] " , " (4,4) [1,2] " , " (1.76667,1.76667) [1,2] "
20 , 66 , 96 , 129 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (0.666667,0.666667) [3,4] " , " (0.666667,0.666667) [1,2] " , " (2.95,2.95) [3,4] " , " (681.7,681.7) [45000,78000] " , " (2.98333,2.98333) [1,3] " , " (270.475,270.475) [50,455] " , " (1.66667,1.66667) [1,2] " , " (3254.19,3254.19) [1000,4000] " , " (1.64,1.64) [0,7] " , " (2193.08,2193.08) [2000,2350] " , " (0,0) [1,2] " , " (32.6527,32.6527) [15,30] " , " (11.1033,11.1033) [660,1080] " , " (2.61294,2.61294) [2,4] " , " (2.16,2.16) [1,2] " , " (10.4,10.4) [8,9] " , " (0.75,0.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (230.762,230.762) [9000,48000] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] "
21 , 11 , 112 , 133 , 131 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (670.21,670.21) [45000,78000] " , " (4.53667,4.53667) [1,3] " , " (425.817,425.817) [50,455] " , " (4,4) [1,2] " , " (4221.45,4221.45) [1000,4000] " , " (4.38333,4.38333) [0,7] " , " (2213.29,2213.29) [2000,2350] " , " (1.6,1.6) [1,2] " , " (34.435,34.435) [15,30] " , " (12.5,12.5) [660,1080] " , " (2.11667,2.11667) [2,4] " , " (2.25,2.25) [1,2] " , " (9.3,9.3) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (113.527,113.527) [9000,48000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
22 , 20 , 84 , 118 , 127 , 181 , 175 , 227 , 246 , " (0,0) [0,1] " , " (2,2) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (993.877,993.877) [45000,78000] " , " (3.6,3.6) [1,3] " , " (177.008,177.008) [50,455] " , " (3,3) [1,2] " , " (3434.49,3434.49) [1000,4000] " , " (3.9,3.9) [0,7] " , " (2218.48,2218.48) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (25.7583,25.7583) [15,30] " , " (15.2367,15.2367) [660,1080] " , " (2,2) [2,4] " , " (1.5,1.5) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (164.567,164.567) [9000,48000] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] "
23 , 57 , 99 , 117 , 125 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.51667,4.51667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2081.11,2081.11) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2184.79,2184.79) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.4824,35.4824) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (338.657,338.657) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
