DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 11 , 112 , 118 , 129 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (857.4,910.51) [30000,52000] " , " (2.27667,2.55) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (3172.93,3831.35) [1000,4000] " , " (4.33333,4.78333) [0,7] " , " (2209.55,2112.23) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.9983,22.3183) [15,30] " , " (10.66,11.66) [440,720] " , " (2.5,2.28333) [2,4] " , " (1.75,1.25) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (108.58,123.013) [6000,32000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
2 , 66 , 96 , 131 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.7,3.75) [3,4] " , " (720.3,688.2) [30000,52000] " , " (1.84333,2.51667) [1,3] " , " (254.875,243.675) [50,455] " , " (1,1.66667) [1,2] " , " (2808.78,3287.96) [1000,4000] " , " (2.34,2.3) [0,7] " , " (2109.93,2185.81) [2000,2350] " , " (1.6,1.6) [1,2] " , " (21.9507,27.2194) [15,30] " , " (9.87,9.80333) [440,720] " , " (2.26,2.01294) [2,4] " , " (1.16,1.66) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (187.448,196.866) [6000,32000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
3 , 20 , 84 , 124 , 133 , 175 , 180 , 227 , 246 , " (0,1) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1143.48) [30000,52000] " , " (1.86667,1.08333) [1,3] " , " (173.085,203.535) [50,455] " , " (1.5,1.5) [1,2] " , " (3561.64,3245.7) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2215.93,2238) [2000,2350] " , " (1,1) [1,2] " , " (26.385,23.16) [15,30] " , " (12.4,9.775) [440,720] " , " (3.66667,2.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (105.382,31.1917) [6000,32000] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] "
4 , 57 , 99 , 117 , 125 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (755.943,891.8) [30000,52000] " , " (2.30833,2.66667) [1,3] " , " (318.243,282.3) [50,455] " , " (1.71429,2) [1,2] " , " (2065.25,1796.15) [1000,4000] " , " (2.84,2.8) [0,7] " , " (2123.92,2174.93) [2000,2350] " , " (1.6,1.6) [1,2] " , " (24.2615,27.1457) [15,30] " , " (12.0619,11.5833) [440,720] " , " (3.11905,3.61905) [2,4] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (231.507,336.745) [6000,32000] " , " (1.5,1) [1,2] " , " (1,1) [1,2] "
5 , 20 , 84 , 134 , 132 , 181 , 160 , 227 , 246 , " (0,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1168.58,1015.23) [30000,52000] " , " (1.93333,2.91667) [1,3] " , " (225.835,186.285) [50,455] " , " (1.5,2) [1,2] " , " (3176.2,3181.24) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2242.08,2272.95) [2000,2350] " , " (1.66667,1) [1,2] " , " (24.92,29.4379) [15,30] " , " (10.5667,10.05) [440,720] " , " (2.66667,2.91667) [2,4] " , " (1.5,1.78571) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (104.702,88.0467) [6000,32000] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
6 , 20 , 113 , 128 , 130 , 163 , 152 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (935.577,882.743) [30000,52000] " , " (2.56667,1.53333) [1,3] " , " (183.385,184.252) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2330.68,2376.17) [1000,4000] " , " (4.6,4.88571) [0,7] " , " (2233.08,2165.59) [2000,2350] " , " (1,1) [1,2] " , " (29.067,24.4817) [15,30] " , " (13.3527,12.386) [440,720] " , " (3.29167,3) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.69,8.19) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (161.094,131.428) [6000,32000] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
7 , 66 , 92 , 136 , 123 , 185 , 151 , 192 , 248 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1,1) [1,2] " , " (3.06667,3.11667) [3,4] " , " (953.21,961.11) [30000,52000] " , " (2.23333,2.17) [1,3] " , " (355.762,335.962) [50,455] " , " (2,2) [1,2] " , " (2889.5,2643.2) [1000,4000] " , " (6.39,6.8) [0,7] " , " (2192.56,2194.03) [2000,2350] " , " (2,2) [1,2] " , " (20.888,25.8323) [15,30] " , " (11.61,12.91) [440,720] " , " (2.42667,2.32667) [2,4] " , " (1.23143,1.66) [1,2] " , " (8.65,8.15) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (143.255,126.985) [6000,32000] " , " (2,2) [1,2] " , " (1.7,1.7) [1,2] "
8 , 11 , 112 , 118 , 131 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (857.4,910.51) [30000,52000] " , " (2.27667,2.56) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (3172.93,3831.25) [1000,4000] " , " (4.33333,4.78333) [0,7] " , " (2209.55,2111.46) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.9983,22.3183) [15,30] " , " (10.66,11.66) [440,720] " , " (2.5,2.28333) [2,4] " , " (1.75,1.25) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (108.58,123.013) [6000,32000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
9 , 20 , 84 , 124 , 133 , 175 , 180 , 227 , 246 , " (0,1) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1143.48) [30000,52000] " , " (1.86667,1.08333) [1,3] " , " (173.085,203.535) [50,455] " , " (1.5,1.5) [1,2] " , " (3561.64,3245.7) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2215.93,2238) [2000,2350] " , " (1,1) [1,2] " , " (26.385,23.16) [15,30] " , " (12.4,9.775) [440,720] " , " (3.66667,2.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (105.382,31.1917) [6000,32000] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] "
10 , 57 , 99 , 117 , 125 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (755.943,891.8) [30000,52000] " , " (2.30833,2.66667) [1,3] " , " (318.243,282.3) [50,455] " , " (1.71429,2) [1,2] " , " (2065.25,1796.15) [1000,4000] " , " (2.84,2.8) [0,7] " , " (2123.92,2174.93) [2000,2350] " , " (1.6,1.6) [1,2] " , " (24.2615,27.1457) [15,30] " , " (12.0619,11.5833) [440,720] " , " (3.11905,3.61905) [2,4] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (231.507,336.745) [6000,32000] " , " (1.5,1) [1,2] " , " (1,1) [1,2] "
11 , 20 , 84 , 134 , 132 , 181 , 160 , 227 , 246 , " (0,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1168.58,1015.23) [30000,52000] " , " (1.93333,2.91667) [1,3] " , " (225.835,186.285) [50,455] " , " (1.5,2) [1,2] " , " (3176.2,3181.24) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2242.08,2272.95) [2000,2350] " , " (1.66667,1) [1,2] " , " (24.92,29.4379) [15,30] " , " (10.5667,10.05) [440,720] " , " (2.66667,2.91667) [2,4] " , " (1.5,1.78571) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (104.702,88.0467) [6000,32000] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
12 , 20 , 113 , 120 , 130 , 163 , 152 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (938.19,882.743) [30000,52000] " , " (2.42667,1.53333) [1,3] " , " (194.985,184.252) [50,455] " , " (2,1.33333) [1,2] " , " (2305.35,2376.17) [1000,4000] " , " (4.6,4.88571) [0,7] " , " (2224.95,2165.59) [2000,2350] " , " (1,1) [1,2] " , " (27.1355,24.4817) [15,30] " , " (13.5393,12.386) [440,720] " , " (3.29167,3) [2,4] " , " (1.5,1.5) [1,2] " , " (8.82333,8.19) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (158.406,131.428) [6000,32000] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
13 , 66 , 96 , 129 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.7,3.75) [3,4] " , " (720.3,688.2) [30000,52000] " , " (1.83333,2.51667) [1,3] " , " (254.875,243.675) [50,455] " , " (1,1.66667) [1,2] " , " (2808.88,3287.96) [1000,4000] " , " (2.34,2.3) [0,7] " , " (2110.7,2185.81) [2000,2350] " , " (1.6,1.6) [1,2] " , " (21.9507,27.2194) [15,30] " , " (9.87,9.80333) [440,720] " , " (2.26,2.01294) [2,4] " , " (1.16,1.66) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (187.448,196.866) [6000,32000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
14 , 11 , 112 , 131 , 118 , 147 , 143 , 193 , 260 , " (0,0) [0,1] " , " (3.33333,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.16667) [3,4] " , " (910.51,857.4) [30000,52000] " , " (2.56,2.27667) [1,3] " , " (430.117,418.925) [50,455] " , " (2,2) [1,2] " , " (3831.25,3172.93) [1000,4000] " , " (4.78333,4.33333) [0,7] " , " (2111.46,2209.55) [2000,2350] " , " (1.6,1.6) [1,2] " , " (22.3183,29.9983) [15,30] " , " (11.66,10.66) [440,720] " , " (2.28333,2.5) [2,4] " , " (1.25,1.75) [1,2] " , " (8.5,9) [8,9] " , " (2,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (123.013,108.58) [6000,32000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
15 , 20 , 84 , 128 , 133 , 175 , 180 , 227 , 246 , " (0,1) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1143.48) [30000,52000] " , " (1.46667,1.08333) [1,3] " , " (173.085,203.535) [50,455] " , " (1.5,1.5) [1,2] " , " (3583.02,3245.7) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2245.12,2238) [2000,2350] " , " (1,1) [1,2] " , " (27.0779,23.16) [15,30] " , " (12.4,9.775) [440,720] " , " (3.66667,2.66667) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (83.7117,31.1917) [6000,32000] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] "
